"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FF","2021-10-02","91.2","-3.84","4.51","Ohtani, Shohei",660271,623149,,"foul",,,,,"4","Shohei Ohtani walks.   Brandon Marsh to 2nd.","R","L","R","SEA","LAA","S",,,"3","1",2021,"-0.94","1.13","-0.44","2.94",,,"669016","0","8","Top",,,,,"608596",,,10.585619716301439,-132.5186629759031,-0.5145980031517993,-13.26468618628038,26.86159392186878,-18.897987433681557,"3.55","1.63","189","88.9","71","91.7","2478","6.5",632255,623149,"608596","664034","647351","572122","641487","641584","672284","571745","53.95",,,,,,,,"62","5","4-Seam Fastball","3","1","1","3","1","3","1","3","Infield shift","Standard","236","0","-0.134"
"SL","2021-10-02","78.6","-3.85","4.73","Ohtani, Shohei",660271,623149,,"ball",,,,,"11","Shohei Ohtani walks.   Brandon Marsh to 2nd.","R","L","R","SEA","LAA","B",,,"2","1",2021,"1.41","0.3","-1.60","3.44",,,"669016","0","8","Top",,,,,"608596",,,2.282916785616508,-114.49249876763882,3.4765420170739016,12.00719967994647,20.413572571588922,-30.36887312136132,"3.25","1.59",,,,"78.9","2130","6.4",632255,623149,"608596","664034","647351","572122","641487","641584","672284","571745","54.1",,,,,,,,"62","4","Slider","3","1","1","3","1","3","1","3","Infield shift","Standard","70","0","0.198"
"SL","2021-10-02","81.4","-3.87","4.7","Ohtani, Shohei",660271,623149,,"ball",,,,,"11","Shohei Ohtani walks.   Brandon Marsh to 2nd.","R","L","R","SEA","LAA","B",,,"1","1",2021,"1.23","0.45","-1.69","3.39",,,"669016","0","8","Top",,,,,"608596",,,2.541592435340012,-118.5211434415777,2.725470120445479,11.19526786428788,20.922695482643896,-28.607927996185772,"3.27","1.55",,,,"81.4","2223","6.1",632255,623149,"608596","664034","647351","572122","641487","641584","672284","571745","54.43",,,,,,,,"62","3","Slider","3","1","1","3","1","3","1","3","Infield shift","Standard","75","0","0.076"
"SL","2021-10-02","80.7","-3.83","4.67","Ohtani, Shohei",660271,623149,,"ball",,,,,"13","Shohei Ohtani walks.   Brandon Marsh to 2nd.","R","L","R","SEA","LAA","B",,,"0","1",2021,"1.71","0.43","-0.46","0.83",,,"669016","0","8","Top",,,,,"608596",,,4.243651899882643,-117.46772010100983,-2.7019301730331273,14.964930497185447,22.960352528867936,-27.853146032692152,"3.26","1.6",,,,"80.8","2103","6.4",632255,623149,"608596","664034","647351","572122","641487","641584","672284","571745","54.12",,,,,,,,"62","2","Slider","3","1","1","3","1","3","1","3","Infield shift","Standard","54","0","0.039"
"CH","2021-10-02","82.9","-1.12","6.7","Ohtani, Shohei",660271,623167,"field_out","hit_into_play",,,,,"11","Shohei Ohtani flies out sharply to left fielder Dylan Moore.","R","L","R","SEA","LAA","X","7","fly_ball","0","1",2021,"-1.15","0.69","-0.85","2.78",,,,"1","1","Top",59.82,72.46,,,"608596",,,2.826313028272977,-120.82041153745328,-3.8962083746674114,-11.802186019211547,20.888486890648334,-24.871772791152598,"3.55","1.63","352","102.4","38","82.7","1334","5.8",632255,623167,"608596","664034","647351","572122","641487","664238","672284","571745","54.67","0.309","0.6","0","1","0","0","5","2","2","Changeup","0","0","0","0","0","0","0","0","Infield shift","Standard","222","0.015","-0.136"
"FF","2021-10-02","94.2","-1.22","6.93","Ohtani, Shohei",660271,623167,,"called_strike",,,,,"11","Shohei Ohtani flies out sharply to left fielder Dylan Moore.","R","L","R","SEA","LAA","S",,,"0","0",2021,"-0.23","1.49","-0.92","3.02",,,,"1","1","Top",,,,,"608596",,,1.3009467064749216,-137.01639744511016,-7.712830148345264,-3.2371722778913905,29.50149915572478,-11.893732092291614,"3.37","1.6",,,,"93.7","2024","5.9",632255,623167,"608596","664034","647351","572122","641487","664238","672284","571745","54.55",,,,,,,,"2","1","4-Seam Fastball","0","0","0","0","0","0","0","0","Infield shift","Standard","205","0","-0.027"
"FF","2021-10-02","92.3","-3.89","4.48","Ohtani, Shohei",660271,623149,,"foul",,,,,"4","Shohei Ohtani walks.   Brandon Marsh to 2nd.","R","L","R","SEA","LAA","S",,,"0","0",2021,"-0.97","1.25","-0.45","2.30",,,"669016","0","8","Top",,,,,"608596",,,10.879354292244063,-134.00047883241868,-2.441505845183456,-14.049844859433938,29.547540705983483,-16.755180777428347,"3.55","1.63",,,,"92.5","2603","6.6",632255,623149,"608596","664034","647351","572122","641487","641584","672284","571745","53.93",,,,,,,,"62","1","4-Seam Fastball","3","1","1","3","1","3","1","3","Infield shift","Standard","247","0","-0.057"
"CU","2021-10-01","74.4","2.7","5.35","Ohtani, Shohei",660271,594835,"field_out","hit_into_play",,,,,"7","Shohei Ohtani grounds out, second baseman Abraham Toro to first baseman Ty France.","R","L","L","SEA","LAA","X","4","ground_ball","3","1",2021,"-0.73","-1.19","-0.82","1.74",,,,"2","5","Top",164.66,147.86,,,"608596",,,-5.930629807002224,-108.16064097171603,1.9695108037142182,-4.578407778944239,19.93448369846129,-42.10989844653716,"3.55","1.63","96","82.5","8","74.2","2192","6.3",632270,594835,"608596","664034","647351","572122","641487","664238","672284","571745","54.2","0.411","0.386","0","1","0","0","4","35","5","Curveball","1","2","2","1","2","1","2","1","Infield shift","Standard","338","0.011","-0.161"
"SI","2021-10-01","87.2","2.32","5.63","Ohtani, Shohei",660271,594835,,"foul",,,,,"2","Shohei Ohtani grounds out, second baseman Abraham Toro to first baseman Ty France.","R","L","L","SEA","LAA","S",,,"3","0",2021,"0.84","1.42","0.03","3.00",,,,"2","5","Top",,,,,"608596",,,-7.247081528884344,-126.85396813543541,-3.1418434324081943,10.497918944153623,24.34828174613255,-16.30563385842662,"3.55","1.63","189","75.2","19","87.7","1984","6.5",632270,594835,"608596","664034","647351","572122","641487","664238","672284","571745","54.02",,,,,,,,"35","4","Sinker","1","2","2","1","2","1","2","1","Infield shift","Standard","140","0","-0.02"
"CU","2021-10-01","75.3","2.91","5.31","Ohtani, Shohei",660271,594835,,"ball",,,,,"12","Shohei Ohtani grounds out, second baseman Abraham Toro to first baseman Ty France.","R","L","L","SEA","LAA","B",,,"2","0",2021,"-0.45","-1.24","1.17","3.37",,,,"2","5","Top",,,,,"608596",,,-2.8217517488980643,-109.51084056860871,5.3066007509813,-3.1011687317165797,19.544167666529468,-43.302528890524826,"3.45","1.63",,,,"75.1","2323","6.2",632270,594835,"608596","664034","647351","572122","641487","664238","672284","571745","54.29",,,,,,,,"35","3","Curveball","1","2","2","1","2","1","2","1","Infield shift","Standard","329","0","0.038"
